,0
WILMDIVISION,category
WILMORGNAME,category
WILMORGNAMECODE,category
CLIENTORG,category
OPPORTUNITYNAME,category
STAGENAME,category
PRODUCTNAME,category
FISCALQUARTER,category
TYPE,category
CREATEDDATE,category
CLOSEDATE,int64
AMOUNT,float64
CREDITNOTETOTAL,float64
REVENUE,float64
COST,float64
UNITPRICE,float64
CLOSEDT,int64
PIPETIME,category
PIPETIMED,int64
TIMEVAL,float32
CREDITVAL,float32
WILMORGNAMECODELE,int64
CLIENTORGLE,int64
OPPORTUNITYNAMELE,int64
PRODUCTNAMELE,int64
STAGENAMELE,int64
FISCALQUARTERLE,int64
TYPELE,int64
CREATEDDATELE,int64
CLOSEDTLE,int64
PIPETIMELE,int64
WILMDIVISIONLE,int64
WILMORGNAMELE,int64
AMOUNTSCALED,float64
CREDITNOTETOTALSCALED,float64
REVENUESCALED,float64
COSTSCALED,float64
UNITPRICESCALED,float64
PIPETIMEDSCALED,float64
TIMEVALSCALED,float64
CREDITVALSCALED,float64
CNLABEL,float32
CLUSTER,int64
CLUSTERCAT,category
WEEK,float32
