ID,ISOCODE,STARTDATE,NEXTSTARTDATE,CONVERSIONRATE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP
04w0X000000DUzeQAG,AED,2018-06-01,2018-07-01,4.8861,1527844671000,005b0000000L061AAC,1527844671000,005b0000000L061AAC,1530521704000
04w0X000000DUzfQAG,AUD,2018-06-01,2018-07-01,1.7587,1527844671000,005b0000000L061AAC,1527844671000,005b0000000L061AAC,1530521704000
04w0X000000DUzhQAG,EUR,2018-06-01,2018-07-01,1.14,1527844671000,005b0000000L061AAC,1527844671000,005b0000000L061AAC,1530521704000
04w0X000000DUziQAG,HKD,2018-06-01,2018-07-01,10.4387,1527844672000,005b0000000L061AAC,1527844672000,005b0000000L061AAC,1530521704000
04w0X000000DUzjQAG,MYR,2018-06-01,2018-07-01,5.2966,1527844672000,005b0000000L061AAC,1527844672000,005b0000000L061AAC,1530521705000
04w0X000000DUzkQAG,SGD,2018-06-01,2018-07-01,1.7801,1527844672000,005b0000000L061AAC,1527844672000,005b0000000L061AAC,1530521705000
04w0X000000DUzlQAG,USD,2018-06-01,2018-07-01,1.3308,1527844672000,005b0000000L061AAC,1527844672000,005b0000000L061AAC,1530521705000
04w0X000000DUzoQAG,SEK,0000-12-30,2018-07-01,11.75,1528895478000,005b0000000L05NAAS,1528895478000,005b0000000L05NAAS,1530521705000
04w0X000000DUzyQAG,AED,2018-07-01,2018-08-01,4.84893,1530521704000,005b0000000L061AAC,1530521704000,005b0000000L061AAC,1533542831000
04w0X000000DUzzQAG,AUD,2018-07-01,2018-08-01,1.7876,1530521704000,005b0000000L061AAC,1530521704000,005b0000000L061AAC,1533542831000
04w0X000000DV00QAG,CHF,2018-07-01,2018-08-01,1.3108,1530521704000,005b0000000L061AAC,1530521704000,005b0000000L061AAC,1533542831000
04w0X000000DV01QAG,EUR,2018-07-01,2018-08-01,1.1308,1530521704000,005b0000000L061AAC,1530521704000,005b0000000L061AAC,1533542831000
04w0X000000DV03QAG,MYR,2018-07-01,2018-08-01,5.3334,1530521705000,005b0000000L061AAC,1530521705000,005b0000000L061AAC,1533542831000
04w0X000000DV05QAG,SGD,2018-07-01,2018-08-01,1.8004,1530521705000,005b0000000L061AAC,1530521705000,005b0000000L061AAC,1533542832000
04w0X000000DV0SQAW,AED,2018-08-01,2018-09-01,4.82227,1533542831000,005b0000000L061AAC,1533542831000,005b0000000L061AAC,1535968736000
04w0X000000DV0UQAW,CHF,2018-08-01,2018-09-01,1.2985,1533542831000,005b0000000L061AAC,1533542831000,005b0000000L061AAC,1535968736000
04w0X000000DV0VQAW,EUR,2018-08-01,2018-09-01,1.121,1533542831000,005b0000000L061AAC,1533542831000,005b0000000L061AAC,1535968737000
04w0X000000DV0YQAW,SEK,2018-08-01,2018-09-01,11.5255,1533542832000,005b0000000L061AAC,1533542832000,005b0000000L061AAC,1535968737000
04w0X000000DV0aQAG,USD,2018-08-01,2018-09-01,1.3117,1533542832000,005b0000000L061AAC,1533542832000,005b0000000L061AAC,1535968737000
04w0X000000DV0eQAG,CHF,2018-09-01,2018-10-01,1.2569,1535968736000,005b0000000L061AAC,1535968736000,005b0000000L061AAC,1538409075000
04w0X000000DV0hQAG,MYR,2018-09-01,2018-10-01,5.3399,1535968737000,005b0000000L061AAC,1535968737000,005b0000000L061AAC,1538409076000
04w0X000000DV0iQAG,SEK,2018-09-01,2018-10-01,11.8735,1535968737000,005b0000000L061AAC,1535968737000,005b0000000L061AAC,1538409076000
04w0X000000DV0jQAG,SGD,2018-09-01,2018-10-01,1.7806,1535968737000,005b0000000L061AAC,1535968737000,005b0000000L061AAC,1538409076000
04w0X000000DV0xQAG,AUD,2018-10-01,2018-11-01,1.798,1538409075000,005b0000000L061AAC,1538409075000,005b0000000L061AAC,1541070116000
04w0X000000DV11QAG,MYR,2018-10-01,2018-11-01,5.3399,1538409076000,005b0000000L061AAC,1538409076000,005b0000000L061AAC,1541070116000
04w0X000000DV13QAG,SGD,2018-10-01,2018-11-01,1.7806,1538409076000,005b0000000L061AAC,1538409076000,005b0000000L061AAC,1541070117000
04w0X000000DV17QAG,AUD,2018-11-01,2018-12-01,1.8024,1541070116000,005b0000000L061AAC,1541070116000,005b0000000L061AAC,1543833636000
04w0X000000DV1AQAW,HKD,2018-11-01,2018-12-01,10.0177,1541070116000,005b0000000L061AAC,1541070116000,005b0000000L061AAC,1543833636000
04w0X000000DV1BQAW,MYR,2018-11-01,2018-12-01,5.3474,1541070116000,005b0000000L061AAC,1541070116000,005b0000000L061AAC,1543833636000
04w0X000000DV1JQAW,EUR,2018-12-01,2019-01-01,1.1266,1543833636000,005b0000000L061AAC,1543833636000,005b0000000L061AAC,1546422535000
04w0X000000DV1QQAW,AED,2019-01-01,2019-02-01,4.68314,1546422535000,005b0000000L061AAC,1546422535000,005b0000000L061AAC,1549014675000
04w0X000000DV1aQAG,AED,2019-02-01,2019-03-01,4.81881,1549014675000,005b0000000L061AAC,1549014675000,005b0000000L061AAC,1551449900000
04w0X000000DV1bQAG,AUD,2019-02-01,2019-03-01,1.8039,1549014675000,005b0000000L061AAC,1549014675000,005b0000000L061AAC,1551449900000
04w0X000000DV1dQAG,EUR,2019-02-01,2019-03-01,1.146,1549014676000,005b0000000L061AAC,1549014676000,005b0000000L061AAC,1551449900000
04w0X000000DV1fQAG,MYR,2019-02-01,2019-03-01,5.3871,1549014676000,005b0000000L061AAC,1549014676000,005b0000000L061AAC,1551449901000
04w0X000000kCgqQAE,AED,2018-02-01,2018-03-01,5.20491,1517485558000,005b0000000L061AAC,1517485558000,005b0000000L061AAC,1519903461000
04w0X000000kCh5QAE,MYR,2018-03-01,2018-04-01,5.3976,1519903462000,005b0000000L061AAC,1519903462000,005b0000000L061AAC,1522918674000
04w0X000000kChMQAU,CHF,2018-05-01,2018-06-01,1.3637,1525168937000,005b0000000L061AAC,1525168937000,005b0000000L061AAC,1527844671000
04wb00000000ms1AAA,AED,2014-02-01,2014-03-01,6.0364,1395391978000,005b0000000L061AAC,1395391978000,005b0000000L061AAC,1395392479000
04w0X000000DV0TQAW,AUD,2018-08-01,2018-09-01,1.7645,1533542831000,005b0000000L061AAC,1533542831000,005b0000000L061AAC,1535968736000
04w0X000000DV0kQAG,USD,2018-09-01,2018-10-01,1.2994,1535968737000,005b0000000L061AAC,1535968737000,005b0000000L061AAC,1538409076000
04w0X000000DV0yQAG,CHF,2018-10-01,2018-11-01,1.2569,1538409075000,005b0000000L061AAC,1538409075000,005b0000000L061AAC,1541070116000
04w0X000000DV1DQAW,SGD,2018-11-01,2018-12-01,1.7695,1541070117000,005b0000000L061AAC,1541070117000,005b0000000L061AAC,1543833637000
