ID,OWNERID,ISDELETED,NAME,CURRENCYISOCODE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,LASTVIEWEDDATE,LASTREFERENCEDDATE,ANALYSIS_CODE__C,ANALYSIS_DIMENSION__C,ANALYSIS_NAME_DEL__C,SHORT_HEADING__C,STATUS__C,DOCUMENT_FOOTER_CONTENT__C,BILLING_COMPANY__C,BILLING_START_DATE__C,CREDIT_CONTROL_EMAIL_ADDRESS__C,CREDIT_CONTROL_PHONE_NUMBER__C,WILMINGTON_DIVISION__C,EC_COUNTRY__C,EXEMPT_TAX_CODE__C,TAXTYPE__C,TAX_COUNTRY_CODE__C,TAX_REGISTRATION_NUMBER__C,LA1_LOGO_DISPLAY__C,LA1_LOGO_URL__C
a3Qb000000000tCEAQ,005b0000000L061AAC,FALSE,ICA,GBP,1410534234000,005b0000000L061AAC,1617296335000,0050X000008UT9XQAW,1617296335000,,,ICA,01,International Compliance Association (ICA),ICA,Active,"International Compliance Association, Registered in England no: 4429302. Registered Office: 5th Floor, 10 Whitechapel High Street, London E1 8QS. Tel: 0121 362 7747. VAT Number: GB 899 3725 51.",a0nb0000002qgRaAAI,2016-01-04,membership@int-comp.org,+44 (0)121 362 7747,Risk & Compliance,TRUE,a20b00000004t8LAAQ,VAT,GB,899372551,<img src=""https://wilmingtonplc--c.eu10.content.force.com/servlet/servlet.ImageServer?id=015b0000001tQqH&amp;oid=00Db0000000df5E&amp;lastMod=1452253095000"" alt=""No Logo"" border=""0""/>,https://wilmingtonplc--c.eu10.content.force.com/servlet/servlet.ImageServer?id=015b0000001tQqH&oid=00Db0000000df5E&lastMod=1452253095000
a3Qb000000000tDEAQ,005b0000000L061AAC,FALSE,WCW,GBP,1410534234000,005b0000000L061AAC,1545136158000,005b0000000L061AAC,1545136158000,1632325290000,1632325290000,WCW,01,Wilmington Compliance Week,WCW,Inactive,,,,,,Risk & Compliance,FALSE,,,,,<img src="" "" alt=""No Logo"" border=""0""/>,
a3Qb000000000tFEAQ,005b0000000L061AAC,FALSE,AMA,GBP,1410534234000,005b0000000L061AAC,1559027034000,005b0000000L05NAAS,1559027034000,,,AMA,01,Adkins Matchett & Toy (Hong Kong) Limited,AMA,Active,"Adkins Matchett & Toy (Hong Kong) Limited, part of Wilmington plc. Office Units 503-04, 5th floor, Haleson Building, 1 Jubilee Street, Central, Hong Kong. Tel: +852 3905 3059.",a0nb0000002qgRaAAI,2016-10-01,creditcontrol@wilmingtonplc.com,+44(0)20 7566 8287,Risk & Compliance,FALSE,a20b00000004t8LAAQ,SUT,HK,,<img src="" "" alt=""No Logo"" border=""0""/>,
a3Qb000000000tGEAQ,005b0000000L061AAC,FALSE,NHI,GBP,1410534234000,005b0000000L061AAC,1545136168000,005b0000000L061AAC,1545136168000,1632325290000,1632325290000,NHI,01,Wilmington Healthcare Ltd,NHI,Inactive,"Wilmington Healthcare Ltd, part of Wilmington plc Registered in England no: 2530185. Registered Office: Registered Office: 5th Floor, 10 Whitechapel High Street, London E1 8QS. Tel: 01268 495600 Fax: 01268 495602. VAT Number: GB 899 3725 51.",a0nb0000002qgRaAAI,2015-04-01,creditcontrol@wilmingtonplc.com,+44 (0)1268 495694,Healthcare,FALSE,,,,,<img src="" "" alt=""No Logo"" border=""0""/>,
a3Qb000000000tHEAQ,005b0000000L061AAC,FALSE,CLS,GBP,1410534234000,005b0000000L061AAC,1617296335000,0050X000008UT9XQAW,1617296335000,,,CLS,01,Central Law Training (Scotland) Ltd,CLS,Active,"Central Law Training (Scotland) Ltd, part of Wilmington plc, registered in Scotland with company number SC187504. Registered office: Tontine House, 8 Gordon Street, Glasgow G1 3PL. VAT NO. GB 899 3725 51.",a0nb0000002qgRaAAI,2016-03-14,wte.creditcontrol@wilmingtonplc.com,+44 (0)1268 495694,Professional,TRUE,a20b00000004t8LAAQ,VAT,GB,899372551,<img src=""https://wilmingtonplc--c.eu10.content.force.com/servlet/servlet.ImageServer?id=0150X000006eeHF&amp;oid=00Db0000000df5E"" alt=""No Logo"" border=""0""/>,https://wilmingtonplc--c.eu10.content.force.com/servlet/servlet.ImageServer?id=0150X000006eeHF&oid=00Db0000000df5E
a3Qb000000000tIEAQ,005b0000000L061AAC,FALSE,LT2,EUR,1410534234000,005b0000000L061AAC,1625737119000,005b0000000L77LAAS,1625737119000,,,LT2,01,La Touche Training Ltd,LT2,Active,"La Touche Training Ltd, part of Wilmington plc. 13 Upper Baggot Street, 2nd Floor, Dublin 4, D04 W7K5. Tel: 01 8788 255. VAT Number: IE 8227343Q",a0nb0000002qgRaAAI,2015-09-04,econnolly@latouchetraining.ie,01 8788 255,Professional,TRUE,a20b00000004t8LAAQ,VAT,IE,8227343Q,<img src=""https://wilmingtonplc--c.eu10.content.force.com/servlet/servlet.ImageServer?id=015b0000001kCEd&amp;oid=00Db0000000df5E&amp;lastMod=1434539873000"" alt=""No Logo"" border=""0""/>,https://wilmingtonplc--c.eu10.content.force.com/servlet/servlet.ImageServer?id=015b0000001kCEd&oid=00Db0000000df5E&lastMod=1434539873000
a3Qb000000000tJEAQ,005b0000000L061AAC,FALSE,ARK,GBP,1410534234000,005b0000000L061AAC,1617296335000,0050X000008UT9XQAW,1617296335000,,,ARK,01,ARK Conferences Ltd,ARK,Active,"ARK Conferences Ltd, part of Wilmington plc, Registered in England no: 2931372. Registered Office: 5th Floor, 10 Whitechapel High Street, London E1 8QS. Tel: 020 7490 0049. VAT Number: GB 899 3725 51.",a0nb0000002qgRaAAI,2015-01-01,creditcontrol@wilmingtonplc.com,+44 (0)1268 495694,Professional,TRUE,a20b00000004t8LAAQ,VAT,GB,899372551,<img src=""https://wilmingtonplc--c.eu2.content.force.com/servlet/servlet.ImageServer?id=015b0000000yf76&amp;oid=00Db0000000df5E&amp;lastMod=1445334593000"" alt=""No Logo"" border=""0""/>,https://wilmingtonplc--c.eu2.content.force.com/servlet/servlet.ImageServer?id=015b0000000yf76&oid=00Db0000000df5E&lastMod=1445334593000
a3Qb000000000tLEAQ,005b0000000L061AAC,FALSE,WLR,GBP,1410534234000,005b0000000L061AAC,1617296335000,0050X000008UT9XQAW,1617296335000,,,WLR,01,Wilmington Publishing & Information Ltd,WLR,Active,"Wilmington Publishing & Information Ltd, part of Wilmington plc. Registered in England no: 3368442.Registered Office: 5th Floor, 10 Whitechapel High Street, London E1 8QS. Tel: 020 7490 0049 Fax: 020 7608 1163. VAT Number: GB 899 3725 51.",a0nb0000002qgRaAAI,2015-01-01,creditcontrol@wilmingtonplc.com,+44 (0)1268 495694,Healthcare,TRUE,a20b00000004t8LAAQ,VAT,GB,899372551,<img src="" "" alt=""No Logo"" border=""0""/>,
a3Qb000000000tMEAQ,005b0000000L061AAC,FALSE,CLT,GBP,1410534234000,005b0000000L061AAC,1617296335000,0050X000008UT9XQAW,1617296335000,,,CLT,01,Central Law Training,CLT,Active,"Central Law Training Ltd, part of Wilmington plc. Registered in England no: 2158821. Registered Office: 5th Floor, 10 Whitechapel High Street London E1 8QS. Tel: 0121 362 7705. VAT Number: GB 899 3725 51.",a0nb0000002qgRaAAI,2019-03-11,creditcontrol@wilmingtonplc.com,+44 (0)1268 495694,Professional,TRUE,a20b00000004t8LAAQ,VAT,GB,899372551,<img src=""https://wilmingtonplc--c.eu10.content.force.com/servlet/servlet.ImageServer?id=0150X000006eeHF&amp;oid=00Db0000000df5E&amp;lastMod=1534327462000"" alt=""No Logo"" border=""0""/>,https://wilmingtonplc--c.eu10.content.force.com/servlet/servlet.ImageServer?id=0150X000006eeHF&oid=00Db0000000df5E&lastMod=1534327462000
a3Qb000000000tNEAQ,005b0000000L061AAC,FALSE,SME,GBP,1410534234000,005b0000000L061AAC,1617296335000,0050X000008UT9XQAW,1617296335000,,,SME,01,Smee and Ford,SME,Active,"Smee & Ford Ltd. Registered in England no: 1964639. Registered Office: 5th Floor, 10 Whitechapel High Street, London E1 8QS. Tel: 020 7490 0049 Fax: 020 7608 1163. VAT Number: GB 899 3725 51",a0nb0000002qgRaAAI,2015-01-01,creditcontrol@wilmingtonplc.com,+44 (0)1268 495694,Healthcare,TRUE,a20b00000004t8LAAQ,VAT,GB,899372551,<img src=""https://wilmingtonplc--c.eu2.content.force.com/servlet/servlet.ImageServer?id=015b0000000BdjM&amp;oid=00Db0000000df5E&amp;lastMod=1443084620000"" alt=""No Logo"" border=""0""/>,https://wilmingtonplc--c.eu2.content.force.com/servlet/servlet.ImageServer?id=015b0000000BdjM&oid=00Db0000000df5E&lastMod=1443084620000
