ID,ISDELETED,NAME,CURRENCYISOCODE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,PROGRAMME__C,ORDER__C,PRODUCT__C,EXEMPTION_REASONS__C,EXEMPTIONS_ALLOWED__C,MODULE_NAME__C,NUMBER_OF_RESITS_ALLOWED__C
a3w0X000000JorCQAS,FALSE,MOD-003522,GBP,1520262382000,005b0000005tEONAA2,1520262382000,005b0000005tEONAA2,1520303738000,a3z0X000000TpR7QAK,10,01t0X0000076ZT6QAM,,FALSE,<a href=""/a3w0X000000JorC"" target=""_top"">ICA International Advanced Certificate in Anti Money Laundering - Registration</a>,3
a3w0X000000JorHQAS,FALSE,MOD-003523,GBP,1520262719000,005b0000005tEONAA2,1520262719000,005b0000005tEONAA2,1520303738000,a3z0X000000TpR7QAK,20,01t0X0000076ZTQQA2,,FALSE,<a href=""/a3w0X000000JorH"" target=""_top"">ICA Intl Advanced Certificate in Anti Money Laundering - Introductory VC</a>,3
a3w0X000000JorMQAS,FALSE,MOD-003524,GBP,1520262901000,005b0000005tEONAA2,1520262901000,005b0000005tEONAA2,1520303738000,a3z0X000000TpR7QAK,30,01t0X0000076ZTaQAM,,FALSE,<a href=""/a3w0X000000JorM"" target=""_top"">ICA International Advanced Certificate in Anti Money Laundering - Workshop One</a>,3
a3w0X000000JorRQAS,FALSE,MOD-003525,GBP,1520263041000,005b0000005tEONAA2,1520263041000,005b0000005tEONAA2,1520303738000,a3z0X000000TpR7QAK,40,01t0X0000076ZTfQAM,,FALSE,<a href=""/a3w0X000000JorR"" target=""_top"">ICA International Advanced Certificate in Anti Money Laundering - Workshop Two</a>,3
a3w0X000000JorWQAS,FALSE,MOD-003526,GBP,1520263337000,005b0000005tEONAA2,1520263337000,005b0000005tEONAA2,1520303738000,a3z0X000000TpR7QAK,50,01t0X0000076ZTpQAM,,FALSE,<a href=""/a3w0X000000JorW"" target=""_top"">ICA Intl Advanced Certificate in Anti Money Laundering – Revision Session</a>,3
a3w0X000000JorgQAC,FALSE,MOD-003528,GBP,1520264206000,005b0000005tEONAA2,1520264206000,005b0000005tEONAA2,1520264206000,a3z0X000000TpRgQAK,10,01tb0000005ABg6AAG,,FALSE,<a href=""/a3w0X000000Jorg"" target=""_top"">ICA Advanced Certificate in Business Compliance - Registration</a>,3
a3w0X000000JorvQAC,FALSE,MOD-003531,GBP,1520264416000,005b0000005tEONAA2,1520264526000,005b0000005tEONAA2,1520303738000,a3z0X000000TpRgQAK,40,01tb0000005ABgQAAW,,FALSE,<a href=""/a3w0X000000Jorv"" target=""_top"">ICA Advanced Certificate in Business Compliance - Workshop Two</a>,3
a3w0X000000Jos0QAC,FALSE,MOD-003532,GBP,1520264509000,005b0000005tEONAA2,1520264539000,005b0000005tEONAA2,1520303738000,a3z0X000000TpRgQAK,50,01t0X0000076ZUJQA2,,FALSE,<a href=""/a3w0X000000Jos0"" target=""_top"">ICA Advanced Certificate in Business Compliance – Revision Session</a>,3
a3w0X000000Jos5QAC,FALSE,MOD-003533,GBP,1520264564000,005b0000005tEONAA2,1520264564000,005b0000005tEONAA2,1520303738000,a3z0X000000TpRgQAK,60,01tb0000005ABgaAAG,,FALSE,<a href=""/a3w0X000000Jos5"" target=""_top"">ICA Advanced Certificate in Business Compliance - Exam</a>,3
a3w0X000000JosKQAS,FALSE,MOD-003536,GBP,1520332881000,005b0000005tEONAA2,1520332881000,005b0000005tEONAA2,1520390065000,a3z0X000000TpaJQAS,10,01t0X0000076Za1QAE,,FALSE,<a href=""/a3w0X000000JosK"" target=""_top"">ICA Specialist Certificate in Money Laundering Risk in New Payment PPS</a>,3
