ID,NAME,PRICEBOOK2ID,PRODUCT2ID,CURRENCYISOCODE,UNITPRICE,ISACTIVE,USESTANDARDPRICE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,PRODUCTCODE,ISDELETED
01u7Z00000JC2rNQAT,Exemption,01sb00000028JroAAE,01t7Z0000088hniQAA,GBP,50,TRUE,FALSE,1634740812000,0050X000008WJKzQAO,1634740812000,0050X000008WJKzQAO,1634740812000,,FALSE
01ub0000001KMkiAAG,Charity Financials: Breach of data use,01sb00000028JroAAE,01tb0000001zQSmAAM,GBP,7500,TRUE,FALSE,1392204483000,005b0000000L04AAAS,1392204483000,005b0000000L04AAAS,1392204483000,,FALSE
01ub0000001KMknAAG,Charity Financials: Data cut - single use,01sb00000028JroAAE,01tb0000001zQSrAAM,GBP,500,TRUE,FALSE,1392204538000,005b0000000L04AAAS,1392204538000,005b0000000L04AAAS,1392204538000,,FALSE
01ub0000001KMkxAAG,Charity Financials: Data cut - 12 month licence,01sb00000028JroAAE,01tb0000001zQT1AAM,GBP,900,TRUE,FALSE,1392204613000,005b0000000L04AAAS,1392204613000,005b0000000L04AAAS,1392204613000,,FALSE
01ub0000001KN4TAAW,Pension Funds Online: Intl Read Only Licence,01sb00000028JroAAE,01tb0000001zQx4AAE,GBP,2000,TRUE,FALSE,1392213696000,005b0000000L04AAAS,1392213696000,005b0000000L04AAAS,1392213696000,,FALSE
01ub0000001KN57AAG,HR Nation: Annual Read Only Subscription,01sb00000028JroAAE,01tb0000001zQxjAAE,GBP,239,TRUE,FALSE,1392213980000,005b0000000L04AAAS,1392213980000,005b0000000L04AAAS,1392213980000,,FALSE
01ub0000001KN4EAAW,Pension Funds Online: UK Read Only Licence,01sb00000028JroAAE,01tb0000001zQwzAAE,GBP,2000,TRUE,FALSE,1392213551000,005b0000000L04AAAS,1392213551000,005b0000000L04AAAS,1392810077000,,FALSE
01ub0000001KN4sAAG,Pension Funds Online: Intl Breach of Data Use,01sb00000028JroAAE,01tb0000001zQxYAAU,GBP,4995,TRUE,FALSE,1392213882000,005b0000000L04AAAS,1392213882000,005b0000000L04AAAS,1392810980000,,FALSE
01ub0000001KN4FAAW,Pension Funds Online: UK Data sale: Multiple Use,01sb00000028JroAAE,01tb0000001zQx9AAE,GBP,500,TRUE,FALSE,1392213729000,005b0000000L04AAAS,1392213729000,005b0000000L04AAAS,1392811538000,,FALSE
01ub0000001KN3QAAW,Smee Legacy View: Breach of Data Use,01sb00000028JroAAE,01tb0000001zQnxAAE,GBP,4000,TRUE,FALSE,1392213059000,005b0000000L04AAAS,1392213059000,005b0000000L04AAAS,1392811645000,,FALSE
01ub000000DKySyAAL,HR Nation: Data Sale: Multiple Use,01sb00000028JroAAE,01tb00000021eQIAAY,GBP,1000,TRUE,FALSE,1409330788000,005b0000001EgALAA0,1409591812000,005b0000000L061AAC,1409591812000,,FALSE
01ub000000DL8yjAAD,Mortascreen Subscription (Database: up to 500k records),01sb00000028JroAAE,01tb00000021qplAAA,GBP,5000,TRUE,FALSE,1412685708000,005b0000000L061AAC,1412685708000,005b0000000L061AAC,1412685708000,,FALSE
01ub000000DL8yyAAD,Mortascreen Subscription (Database: up to 5m records),01sb00000028JroAAE,01tb00000021qq0AAA,GBP,30000,TRUE,FALSE,1412685854000,005b0000000L061AAC,1412685864000,005b0000000L061AAC,1412685864000,,FALSE
01ub000000DL8z3AAD,Mortascreen Subscription (Database: up to 6m records),01sb00000028JroAAE,01tb00000021qq5AAA,GBP,35000,TRUE,FALSE,1412685875000,005b0000000L061AAC,1412685890000,005b0000000L061AAC,1412685890000,,FALSE
01ub000000DL8z8AAD,Mortascreen Subscription (Database: up to 7.5m records),01sb00000028JroAAE,01tb00000021qqAAAQ,GBP,45000,TRUE,FALSE,1412685904000,005b0000000L061AAC,1412685915000,005b0000000L061AAC,1412685915000,,FALSE
01ub000000DL8zDAAT,Mortascreen Subscription (Database: up to 10m records),01sb00000028JroAAE,01tb00000021qqFAAQ,GBP,50000,TRUE,FALSE,1412685961000,005b0000000L061AAC,1412685971000,005b0000000L061AAC,1412685971000,,FALSE
