ID,OWNERID,ISDELETED,NAME,CURRENCYISOCODE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,LASTVIEWEDDATE,LASTREFERENCEDDATE,ANALYSIS_CODE__C,ANALYSIS_DIMENSION__C,ANALYSIS_NAME_DEL__C,LABEL__C,SHORT_HEADING__C,STATUS__C,LA1_CODE_LEGAL_ENTITY__C,LA2__C
a3S0X000000VjLSUA0,005b0000001FVCNAA4,FALSE,STURI,GBP,1580476799000,005b0000001FVCNAA4,1599651290000,005b0000001FVCNAA4,1599651290000,,,STURI,03,,Mercia ROI Recruitment Income,,,a3Q0X000000OhZxUAK,
a3S0X000000VjLXUA0,005b0000001FVCNAA4,FALSE,AMDRI,GBP,1580476830000,005b0000001FVCNAA4,1599651301000,005b0000001FVCNAA4,1599651301000,,,AMDRI,03,,Mercia ROI Documentation,,,a3Q0X000000OhZxUAK,
a3S0X000000VjLcUAK,005b0000001FVCNAA4,FALSE,TRINR,GBP,1580476860000,005b0000001FVCNAA4,1599651310000,005b0000001FVCNAA4,1599651310000,,,TRINR,03,,Mercia ROI CPD Courses,,,a3Q0X000000OhZxUAK,
a3S0X000000VjLhUAK,005b0000001FVCNAA4,FALSE,CASRI,GBP,1580476891000,005b0000001FVCNAA4,1599651355000,005b0000001FVCNAA4,1599651356000,,,CASRI,03,,Mercia ROI Caseware Commission/Royalties,,,a3Q0X000000OhZxUAK,
a3S0X000000VjLmUAK,005b0000001FVCNAA4,FALSE,COPAN,GBP,1580482945000,005b0000001FVCNAA4,1599646342000,005b0000001FVCNAA4,1599646342000,,,COPAN,03,,Mercia NI Practice Assurance Compliance Manual,,,a3Q0X000000OhZsUAK,
a3S0X0000010G1wUAE,005b0000000L061AAC,FALSE,MA1,GBP,1541680459000,005b0000000L061AAC,1552903687000,005b0000000L1KUAA0,1552993936000,,,MA1,03,,CLT Law Society Management Stage 1,MA1,,a3Qb000000000tMEAQ,CLT - L2 - CLT Public Division
a3S0X0000010G1xUAE,005b0000000L061AAC,FALSE,MA2,GBP,1541680459000,005b0000000L061AAC,1552903687000,005b0000000L1KUAA0,1552993936000,,,MA2,03,,CLT Law Society Management Stage 2,MA2,,a3Qb000000000tMEAQ,CLT - L2 - CLT Public Division
a3S0X0000010G1yUAE,005b0000000L061AAC,FALSE,MCL,GBP,1541680459000,005b0000000L061AAC,1552903687000,005b0000000L1KUAA0,1552993936000,,,MCL,03,,CLT Masterclass,MCL,,a3Qb000000000tMEAQ,CLT - L2 - CLT Public Division
a3S0X0000010G1zUAE,005b0000000L061AAC,FALSE,OFR,GBP,1541680459000,005b0000000L061AAC,1552903687000,005b0000000L1KUAA0,1552993936000,,,OFR,03,,CLT OFR,OFR,,a3Qb000000000tMEAQ,CLT - L2 - CLT Public Division
a3S0X0000010G20UAE,005b0000000L061AAC,FALSE,PCI,GBP,1541680459000,005b0000000L061AAC,1552903687000,005b0000000L1KUAA0,1552993936000,,,PCI,03,,CLT Public Consortia,PCI,,a3Qb000000000tMEAQ,CLT - L2 - CLT Public Division
a3S0X0000010G22UAE,005b0000000L061AAC,FALSE,SHF,GBP,1541680459000,005b0000000L061AAC,1552903687000,005b0000000L1KUAA0,1552993936000,,,SHF,03,,CLT SHF,SHF,,a3Qb000000000tMEAQ,CLT - L2 - CLT Public Division
a3S0X0000010G23UAE,005b0000000L061AAC,FALSE,WBH,GBP,1541680459000,005b0000000L061AAC,1552903687000,005b0000000L1KUAA0,1553267609000,,,WBH,03,,CLT WBH,WBH,,a3Qb000000000tMEAQ,CLT - L12 - CLT Online
a3S0X0000010G26UAE,005b0000000L061AAC,FALSE,WBX,GBP,1541680459000,005b0000000L061AAC,1552903687000,005b0000000L1KUAA0,1553267609000,,,WBX,03,,CLT WBX,WBX,,a3Qb000000000tMEAQ,CLT - L12 - CLT Online
a3S0X0000010G27UAE,005b0000000L061AAC,FALSE,WIL,GBP,1541680459000,005b0000000L061AAC,1552903687000,005b0000000L1KUAA0,1552993936000,,,WIL,03,,CLT WIL,WIL,,a3Qb000000000tMEAQ,CLT - L2 - CLT Public Division
a3S0X0000010G28UAE,005b0000000L061AAC,FALSE,ZZZ,GBP,1541680459000,005b0000000L061AAC,1541680459000,005b0000000L061AAC,1541680459000,,,ZZZ,03,,CLT ZZZ,ZZZ,,a3Qb000000000tMEAQ,
a3S0X0000010GDWUA2,005b0000001FVCNAA4,FALSE,XXB,GBP,1544695047000,005b0000001FVCNAA4,1554998180000,005b0000001FVCNAA4,1554998180000,,,XXB,03,,Miscellaneous,XXB,,a3Qb000000000tBEAQ,BSL - 0 - BLANK
a3S0X0000010GLGUA2,005b0000001FVCNAA4,FALSE,L042,GBP,1546528753000,005b0000001FVCNAA4,1546528753000,005b0000001FVCNAA4,1546528753000,,,L042,03,,Employment Law,,,a3Qb000000000tIEAQ,
a3S0X0000010GLLUA2,005b0000001FVCNAA4,FALSE,INA,GBP,1546879129000,005b0000001FVCNAA4,1546879129000,005b0000001FVCNAA4,1546879129000,,,INA,03,,Insurance Authority,,,a3Qb000000000t8EAA,
a3S0X0000010GOKUA2,005b0000000L061AAC,FALSE,TOSHK,GBP,1548434409000,005b0000000L061AAC,1548434409000,005b0000000L061AAC,1548434409000,,,TOSHK,03,,TOSHK,,,a3Qb000000000tFEAQ,
a3S0X0000010GOPUA2,005b0000000L061AAC,FALSE,ICEHK,GBP,1548434429000,005b0000000L061AAC,1548434429000,005b0000000L061AAC,1548434429000,,,ICEHK,03,,ICEHK,,,a3Qb000000000tFEAQ,
a3S670000002Ow5EAE,005b0000001FVCNAA4,FALSE,LMSA,GBP,1626876074000,005b0000001FVCNAA4,1626876074000,005b0000001FVCNAA4,1626876074000,,,LMSA,03,,International Diploma in Managing Sanctions Risk Online (LT) - Registration,,,a3Qb000000000tIEAQ,
a3S670000002P5HEAU,005b0000000LhTlAAK,FALSE,MOIFR,GBP,1627551788000,005b0000000LhTlAAK,1627551788000,005b0000000LhTlAAK,1627551788000,,,MOIFR,03,,Cert in FC Risk and New Tech,,,a3Q0X000000poSsUAI,
a3S670000002P5MEAU,005b0000000LhTlAAK,FALSE,MOIVB,GBP,1627551813000,005b0000000LhTlAAK,1627551813000,005b0000000LhTlAAK,1627551813000,,,MOIVB,03,,IH Virtual Blended,,,a3Q0X000000poSsUAI,
a3S670000002P5REAU,005b0000000LhTlAAK,FALSE,MOIFB,GBP,1627551840000,005b0000000LhTlAAK,1627551840000,005b0000000LhTlAAK,1627551840000,,,MOIFB,03,,IH F2F Blended,,,a3Q0X000000poSsUAI,
a3S670000002P5bEAE,005b0000000LhTlAAK,FALSE,SOCDD,GBP,1627554369000,005b0000000LhTlAAK,1627554369000,005b0000000LhTlAAK,1627554369000,,,SOCDD,03,,Adv Cert in CDD,,,a3Qb000000000syEAA,
a3S670000002P8zEAE,005b0000000LhTlAAK,FALSE,LPCM,GBP,1627642055000,005b0000000LhTlAAK,1627642055000,005b0000000LhTlAAK,1627642055000,,,LPCM,03,,Protecting Customers’ Monies and Assets (Online),,,a3Qb000000000tIEAQ,
a3S0X000000VjYCUA0,005b0000001FVCNAA4,FALSE,L859,GBP,1581438318000,005b0000001FVCNAA4,1581438318000,005b0000001FVCNAA4,1581438318000,,,L859,03,,Litigation Management,L859,,a3Qb000000000tIEAQ,LT2 - Z - BLANK - PWG-Comm - Internet Investigations
a3S0X000000VjgBUAS,0050X000008uaG0QAI,FALSE,NFUL,GBP,1581502363000,0050X000008uaG0QAI,1598280983000,005b0000001FVCNAA4,1598280983000,,,NFUL,03,,Mercia ROI Full membership,,,a3Q0X000000OhZxUAK,
a3S67000000abOEEAY,005b0000001FVCNAA4,FALSE,PGOME,GBP,1603447608000,005b0000001FVCNAA4,1603447608000,005b0000001FVCNAA4,1603447608000,,,PGOME,03,,Postgraduate online ME,,,a3Qb000000000t8EAA,
a3S67000000abYTEAY,005b0000001FVCNAA4,FALSE,LCCR,GBP,1604486155000,005b0000001FVCNAA4,1604486155000,005b0000001FVCNAA4,1604486155000,,,LCCR,03,,ICA (LT) Specialist Certificate in Conduct Risk,,,a3Qb000000000tIEAQ,
a3S67000000abwkEAA,005b0000001FVCNAA4,FALSE,DDF,GBP,1605002414000,005b0000001FVCNAA4,1605002414000,005b0000001FVCNAA4,1605002414000,,,DDF,03,,Diploma in Financial Crime,,,a3Qb000000000t8EAA,
a3S67000000af5uEAA,005b0000001FVCNAA4,FALSE,SIL,GBP,1612959146000,005b0000001FVCNAA4,1612959146000,005b0000001FVCNAA4,1612959146000,,,SIL,03,,Silverfinn,,,a3Qb000000000t5EAA,MCA - ME3 - Technical Support
a3S67000000eEZmEAM,005b0000001FVCNAA4,FALSE,L047,GBP,1619610720000,005b0000001FVCNAA4,1619610720000,005b0000001FVCNAA4,1619610720000,,,L047,03,,Care of the Vulnerable Adult (Public),,,a3Qb000000000tIEAQ,LT2 - LP1 - PUBLIC - Full Days CPD
a3S67000000eF3NEAU,005b0000000LhTlAAK,FALSE,LIHT,GBP,1620646799000,005b0000000LhTlAAK,1620646799000,005b0000000LhTlAAK,1620646799000,,,LIHT,03,,ICA LT Inhouse Virtual Training,,,a3Qb000000000tIEAQ,
a3S67000000eGJWEA2,005b0000001FVCNAA4,FALSE,L190,GBP,1626336659000,005b0000001FVCNAA4,1626336659000,005b0000001FVCNAA4,1626336659000,,,L190,03,,"Public Fire Safety & Building Control: Regulation, Investigation & Prosecution",,,a3Qb000000000tIEAQ,
a3Sb00000000zAuEAI,005b0000000L061AAC,FALSE,WH101,GBP,1480604285000,005b0000000L061AAC,1481820629000,005b0000000L061AAC,1520525215000,,,WH101,03,,Multichannel Marketing Services,WH101,,a3Qb00000008UFSEA2,Engagement
a3Sb00000000ziZEAQ,005b0000000LhTlAAK,FALSE,Q04,GBP,1483701786000,005b0000000LhTlAAK,1483701786000,005b0000000LhTlAAK,1483820240000,,,Q04,03,,ICA Advanced Certificate in Sanctions Risk Managment,,,a3Qb00000008Tn9EAE,
a3Sb00000004OUAEA2,005b0000000L061AAC,FALSE,3654,GBP,1424881111000,005b0000000L061AAC,1424887244000,005b0000000L061AAC,1424887244000,,,3654,03,3654,BOL - Community Nurses,,,a3Qb000000000swEAA,
a3S0X0000010GOAUA2,005b0000000L061AAC,FALSE,TOCHK,GBP,1548434372000,005b0000000L061AAC,1548434372000,005b0000000L061AAC,1548434372000,,,TOCHK,03,,TOCHK,,,a3Qb000000000tFEAQ,
a3S0X0000010GOUUA2,005b0000000L061AAC,FALSE,IMEHK,GBP,1548434436000,005b0000000L061AAC,1548434436000,005b0000000L061AAC,1548434436000,,,IMEHK,03,,IMEHK,,,a3Qb000000000tFEAQ,
a3S0X0000010GOZUA2,005b0000001FVCNAA4,FALSE,DLE,GBP,1548757638000,005b0000001FVCNAA4,1555082229000,005b0000001FVCNAA4,1555082229000,,,DLE,03,,Diploma in AML-Lebanon,,,a3Qb000000000t8EAA,ICD - Z - Blank - Diploma in AML-Lebanon
a3S67000000aZbzEAE,005b0000001FVCNAA4,FALSE,IPO,GBP,1601291124000,005b0000001FVCNAA4,1601291124000,005b0000001FVCNAA4,1601291124000,,,IPO,03,,ICPAC Cert in Financial Crime Compliance,IPO,,a3Qb000000000t6EAA,
a3S0X0000010G24UAE,005b0000000L061AAC,FALSE,WBR,GBP,1541680459000,005b0000000L061AAC,1552903687000,005b0000000L1KUAA0,1553267609000,,,WBR,03,,CLT Webinar Recordings,WBR,,a3Qb000000000tMEAQ,CLT - L12 - CLT Online
a3S0X0000010G25UAE,005b0000000L061AAC,FALSE,WBS,GBP,1541680459000,005b0000000L061AAC,1552903687000,005b0000000L1KUAA0,1553267609000,,,WBS,03,,CLT Web Seminars,WBS,,a3Qb000000000tMEAQ,CLT - L12 - CLT Online
a3S0X0000010G2nUAE,005b0000000LhTlAAK,FALSE,LEML,GBP,1542198117000,005b0000000LhTlAAK,1557481919000,005b0000001FVCNAA4,1557481919000,,,LEML,03,,Employment Law,,,a3Qb000000000tIEAQ,LT2 - Z - BLANK - Employment Law
a3S0X0000010GOFUA2,005b0000000L061AAC,FALSE,TODHK,GBP,1548434391000,005b0000000L061AAC,1548434391000,005b0000000L061AAC,1548434391000,,,TODHK,03,,TODHK,,,a3Qb000000000tFEAQ,
a3S0X0000010GOeUAM,005b0000001FVCNAA4,FALSE,DGL,GBP,1548757703000,005b0000001FVCNAA4,1555081770000,005b0000001FVCNAA4,1555081770000,,,DGL,03,,Diploma in GRC-Lebanon,,,a3Qb000000000t8EAA,ICD - ONL - Online - Diploma in GRC Online
a3S670000002P5gEAE,005b0000000LhTlAAK,FALSE,SOIVB,GBP,1627554386000,005b0000000LhTlAAK,1627554386000,005b0000000LhTlAAK,1627554386000,,,SOIVB,03,,In House Virtual Blended,,,a3Qb000000000syEAA,
a3S67000000aZR6EAM,005b0000001FVCNAA4,FALSE,RDP,GBP,1600952720000,005b0000001FVCNAA4,1600952720000,005b0000001FVCNAA4,1600952720000,,,RDP,03,,R&D Essentials Pack,,,a3Qb000000000t5EAA,MCA - ME2 - Marketing Support
