ID,ISDELETED,NAME,CURRENCYISOCODE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,LASTACTIVITYDATE,LASTVIEWEDDATE,LASTREFERENCEDDATE,ISACTIVE__C,EMAIL_FOOTER__C,QUALIFICATION__C,NO_OF_ASSESSMENTS_PASSES_REQUIRED__C,OVERALL_PASS_MARK__C,EMAIL_HEADER__C,CREDITS__C,LEVEL__C,EXCLUDE_FROM_BOOKING_CONFIRMATION__C,BRAND__C,MARKING_MODEL__C,FOLDER_ID__C,SUPPRESS_SELF_FUNDERS_ACCESS__C,CERTIFICATE_PROGRAMME_NAME__C,COMMUNICATION_LANGUAGE__C,EMAIL_WELCOME__C
a3z0X000000CtFuQAK,FALSE,STEP Certificate in Anti Money Laundering (PANAMA),GBP,1526469995000,005b0000000L1KUAA0,1562683457000,0050X000008uaG0QAI,1565126232000,,,,FALSE,"All course materials are provided via our online learning platform. In order to gain access to this you will need to navigate to www.cltint.com and log in using your unique username and password.<br><br>You should ensure that you log-on to the platform as soon as possible to access the resources available. Please check the course forum regularly as it will be used to share important course information. We would very much welcome your contribution to this so that all delegates can benefit from an interactive learning experience.<br><br><b>Please note that if you are self-funding your access to the platform will not be activated until payment has been received</b>.<br><br><b>Your STEP Membership</b><br>It is mandatory to become a member of STEP and maintain your STEP membership while studying a STEP qualification. If you are new to membership, STEP will conatct you within 6-8 weeks of your enrolment to welcome you to the association, provide you with your login details for the STEP website, direct you to information about the Society&#39;s Code of Professional Conduct, and tell you how to pay your membership fees. Membership of STEP offers professionals a number of benefits including opportunities to network, learn and share insights and knowldge across borders and practice areas. Members also have the opportunity to get involved in STEP&#39;s activities locally, nationally and internationally, from developing their local branch to contributing to technical or public policy debate on a global level. Being a member will keep you up to date, enhance your profile and develop your skills in specific or more extensive areas. To find out more, contact STEP at +44(0)20 3752 3700 or step@step.org.<br><br>Should you have any queries please do not hesitate to contact the CLTI Team on +44(0)121 362 7733 or cltinternational@centlaw.com.",a41b0000000ciqwAAA,2,50,<br>Details of your registration are as follows:,,,FALSE,a39b00000008fYRAAY,Avg. of Assessments,,FALSE,STEP Certificate in Anti Money Laundering,English,
a3z0X000000CtHvQAK,FALSE,ICA Certificate in Regulatory Compliance,GBP,1526554736000,005b0000000L1KUAA0,1562683459000,0050X000008uaG0QAI,1565126232000,,,,FALSE,"<span>We recommend that you attend the workshop as it really helps bring the learning to life and you’ll also get to meet other people on your course and benefit from shared experiences.</span><br><br><span>Once the workshop has taken place you will be able to access the online examination.</span><br><br><span>Your candidate number is listed at the top of this email and where possible should be quoted in all contact with us.</span><br><br><span>If you’re on LinkedIn, please join the ICT Network and Study group here </span><a href=""https://www.linkedin.com/groups/4246170"" target=""_blank"">https://www.linkedin.com/groups/4246170</a><span> and take the time to follow us on Twitter </span><a href=""https://twitter.com/ictcompliance"" target=""_blank"">https://twitter.com/ictcompliance</a><span> and Facebook </span><a href=""https://www.facebook.com/ictcompliance"" target=""_blank"">https://www.facebook.com/ictcompliance</a><span> for useful updates and tips.</span><br><br><span>We hope you enjoy the course and if you need to get in touch with us or your tutor at any point, please do so through the Q&amp;A platform on the Learning Platform, by emailing us at </span><a href=""mailto:ict@int-comp.com"" target=""_blank"">ict@int-comp.com</a><span> or calling us on +44(0)121 362 7534.</span>",a410X000000wnOSQAY,1,49.5,Please take the time to review all of the material on the learning platform and make use of the support and guidance offered to you – you’ll find it invaluable when preparing for your online examination.<br><br>Your workshop date is below and we’ll email you approximately two weeks before the workshop to confirm locations and timings.<br><br>You’ll have access to the course for three months and you can take the online examination at any point during this period.,,Certificate,FALSE,a39b00000008hMSAAY,Avg. of Assessments,24,FALSE,ICA Certificate in Regulatory Compliance,,
a3z0X000000CtIAQA0,FALSE,ICA Certificate in Regulatory Compliance Online,GBP,1526561963000,005b0000000L1KUAA0,1562683458000,0050X000008uaG0QAI,1565126232000,,,,FALSE,,a410X000000wnOSQAY,1,49.5,"<span>Please take the time to review all of the material on the learning platform and make use of the support and guidance offered to you – you’ll find it invaluable when preparing for your online examination.</span><br><br><span>You’ll have access to the course for three months and you can take the online examination at any point during this period.</span><br><br><span>Your candidate number is listed at the top of this email and where possible should be quoted in all contact with us.</span><br><br><span>If you’re on LinkedIn, please join the ICT Network and Study group here </span><a href=""https://www.linkedin.com/groups/4246170"" target=""_blank"">https://www.linkedin.com/groups/4246170</a><span> and take the time to follow us on Twitter </span><a href=""https://twitter.com/ictcompliance"" target=""_blank"">https://twitter.com/ictcompliance</a><span> and Facebook </span><a href=""https://www.facebook.com/ictcompliance"" target=""_blank"">https://www.facebook.com/ictcompliance</a><span> for useful updates and tips.</span><br><br><span>We hope you enjoy the course and if you need to get in touch with us or your tutor at any point, please do so through the Q&amp;A Forum on the Learning Platform, by emailing us at </span><a href=""mailto:ict@int-comp.com"" target=""_blank"">ict@int-comp.com</a><span> or calling us on +44(0)121 362 7534.</span>",,Certificate,FALSE,a39b00000008hMSAAY,Avg. of Assessments,24,FALSE,ICA Certificate in Regulatory Compliance,,
a3z0X000000CtIFQA0,FALSE,ICA Certificate in Regulatory Compliance Online,GBP,1526562100000,005b0000000L1KUAA0,1562683459000,0050X000008uaG0QAI,1565126232000,,,,FALSE,"<span>Your candidate number is listed at the top of this email and where possible should be quoted in all contact with us.</span><br><br><span>If you’re on LinkedIn, please join the ICT Network and Study group here </span><a href=""https://www.linkedin.com/groups/4246170"" target=""_blank"">https://www.linkedin.com/groups/4246170</a><span> and take the time to follow us on Twitter </span><a href=""https://twitter.com/ictcompliance"" target=""_blank"">https://twitter.com/ictcompliance</a><span> and Facebook </span><a href=""https://www.facebook.com/ictcompliance"" target=""_blank"">https://www.facebook.com/ictcompliance</a><span> for useful updates and tips.</span><br><br><span>We hope you enjoy the course and if you need to get in touch with us or your tutor at any point, please do so through the Q&amp;A platform on the Learning Platform, by emailing us at </span><u>info@ictmiddleeast.com</u><span> or calling us on +971 4 4019310.</span>",a410X000000wnOXQAY,1,70,"These log in details will give you access to ICA website <a href=""http://www.int-comp.org/"" target=""_blank"">www.int-comp.org</a>, please note you will be asked to change your password on first access to this site also.<br><br>Please take the time to review all of the material on the learning platform and make use of the support and guidance offered to you – you’ll find it invaluable when preparing for your online examination.<br><br>You’ll have access to the course for three months and you can take the online examination at any point during this period.",,Certificate,FALSE,a39b0000000Tdo4AAC,Avg. of Assessments,12,FALSE,ICA Certificate in Regulatory Compliance,,
a3z0X000000CtK1QAK,FALSE,ICA Int'l Advanced Certificate in Regulatory Compliance,GBP,1526633446000,005b0000000L1KUAA0,1574782995000,005b0000000LhTfAAK,1574782995000,,,,TRUE,"<br><span style=""font-size: 11pt;""><span style=""font-family: Calibri,sans-serif;""><b><span style=""font-size: 9.0pt;""><span>What happens next?</span></span></b><span style=""font-size: 9.0pt;""><span> to get started with your studies watch this <b><a href=""http://www.kaltura.com/tiny/qnijl"" target=""_blank"">video</a>.</b>  </span></span></span></span><br><br><span style=""font-size: 11pt;""><span style=""font-family: Calibri,sans-serif;""><span style=""font-size: 9.0pt;""><span>Should you have any questions please get in touch with us by emailing <a href=""mailto:studentservices@int-comp.org"" style=""font-family: Arial,sans-serif; color: blue; text-decoration: underline;"" target=""_blank"">studentservices@int-comp.org</a> or calling us on +44 (0)121 362 7534.  We wish you every success in your studies.</span></span></span></span><br> ",a410X000000wnOcQAI,2,49.5,To access your course materials go to the ICA website click on the blue &quot;<b>Course Login</b>&quot; tab.   When you log in for the first time you will be prompted to change your password. If you&#39;ve studied with us before or are already an ICA member you can use your existing login details.<br><br>Please note you will receive a separate booking confirmation regarding your membership and your member resources are available by clicking on the pink &quot;<b>Member Login</b>&quot; tab.<br><br>Here are the key dates for your course and we&#39;ll send you an email reminder two weeks before each date. ,,Advanced Certificate,FALSE,a39b00000008hMSAAY,Avg. of Assessments,16,FALSE,ICA International Advanced Certificate in Regulatory Compliance,English,
a3z0X000000CtK6QAK,FALSE,ICA Int'l Advanced Certificate in Regulatory Compliance Online,GBP,1526633489000,005b0000000L1KUAA0,1609245735000,005b0000003ge0wAAA,1609245735000,,,,FALSE,<b>What happens next?</b> to get started with your studies watch this <b><a href=""http://www.kaltura.com/tiny/qnijl"" target=""_blank"">video</a>.</b> <br><br>Should you have any questions please get in touch with us by emailing <a href=""mailto:studentservices@int-comp.org"" target=""_blank"">studentservices@int-comp.org</a> or calling us on +44 (0)121 362 7534.  We wish you every success in your studies.,a410X000000wnOcQAI,2,49.5,"To access your course materials, go to the ICA website click on the blue “Course login” tab.  When you log in for the first time you will be prompted to change your password. If you&#39;ve studied with us before or are already an ICA member you can use your existing login details.<br><br>Please note you will receive a separate booking confirmation regarding your membership and your member resources are available by clicking on the pink “Member Login” tab. <br><br>Here are the key dates for your course and we&#39;ll send you an email reminder two weeks before each date.",,Advanced Certificate,FALSE,a39b00000008hMSAAY,Avg. of Assessments,16,FALSE,ICA International Advanced Certificate in Regulatory Compliance,English,
a3z0X000000CtKBQA0,FALSE,ICA International Advanced Certificate in Regulatory Compliance,GBP,1526635076000,005b0000000L1KUAA0,1573751113000,005b0000000LhkBAAS,1573751113000,,,,TRUE,"We recommend that you attend all workshops as they really help bring the learning to life as well as provide guidance on how to approach your assessments. You’ll also get to meet other people on your course and benefit from shared experiences.<br><br>If you’re on LinkedIn, please join the ICT Network and Study group here <a href=""https://www.linkedin.com/groups/4246170"" target=""_blank"">https://www.linkedin.com/groups/4246170</a> and take the time to follow us on Twitter <a href=""https://twitter.com/ictcompliance"" target=""_blank"">https://twitter.com/ictcompliance</a> and Facebook <a href=""https://www.facebook.com/ictcompliance"" target=""_blank"">https://www.facebook.com/ictcompliance</a> for useful updates and tips.<br><br><b>What happens next?</b> to get started with your studies watch this <b><a href=""http://www.kaltura.com/tiny/qnijl"" target=""_blank"">video</a>.</b> <br><br>Should you have any questions please get in touch with us by emailing info@ictmiddleeast.com  or calling us on +971 4 4019310 .  We wish you every success in your studies.<br><br> ",a410X000000wnOhQAI,1,49.5,To access your course materials go to the ICA website click on the blue &quot;<b>Course Login</b>&quot; tab.   When you log in for the first time you will be prompted to change your password. If you&#39;ve studied with us before or are already an ICA member you can use your existing login details.<br><br>Please note you will receive a separate booking confirmation regarding your membership and your member resources are available by clicking on the pink &quot;<b>Member Login</b>&quot; tab.<br><br>Here are the key dates for your course and we&#39;ll send you an email reminder two weeks before each date. ,,Advanced Certificate,FALSE,a39b0000000Tdo4AAC,Exam only,16,FALSE,ICA International Advanced Certificate in Regulatory Compliance,,
a3z0X000000CtIKQA0,FALSE,ICA Certificate in Regulatory Compliance,GBP,1526562205000,005b0000000L1KUAA0,1562683459000,0050X000008uaG0QAI,1565126232000,,,,FALSE,"<span>Your candidate number is listed at the top of this email and where possible should be quoted in all contact with us.</span><br><br><span>If you’re on LinkedIn, please join the ICT Network and Study group here </span><a href=""https://www.linkedin.com/groups/4246170"" target=""_blank"">https://www.linkedin.com/groups/4246170</a><span> and take the time to follow us on Twitter </span><a href=""https://twitter.com/ictcompliance"" target=""_blank"">https://twitter.com/ictcompliance</a><span> and Facebook </span><a href=""https://www.facebook.com/ictcompliance"" target=""_blank"">https://www.facebook.com/ictcompliance</a><span> for useful updates and tips.</span><br><br><span>We hope you enjoy the course and if you need to get in touch with us or your tutor at any point, please do so through the Q&amp;A platform on the Learning Platform, by emailing us at </span><u>info@ictmiddleeast.com</u><span> or calling us on +971 4 4019310.</span>",a410X000000wnOXQAY,1,70,"These log in details will give you access to ICA website <a href=""http://www.int-comp.org/"" target=""_blank"">www.int-comp.org</a>, please note you will be asked to change your password on first access to this site also.<br><br>Please take the time to review all of the material on the learning platform and make use of the support and guidance offered to you – you’ll find it invaluable when preparing for your online examination.<br><br>You’ll have access to the course for three months and you can take the online examination at any point during this period.",,Certificate,FALSE,a39b0000000Tdo4AAC,Avg. of Assessments,12,FALSE,ICA Certificate in Regulatory Compliance,,
a3z0X000000CtKGQA0,FALSE,ICA Int'l Advanced Certificate in Regulatory Compliance Online,GBP,1526635482000,005b0000000L1KUAA0,1562683459000,0050X000008uaG0QAI,1565126232000,,,,TRUE,"<span>We recommend that you attend all workshops as they really help bring the learning to life as well as provide guidance on how to approach your assessments. You’ll also get to meet other people on your course and benefit from shared experiences.</span><br><br><span>Your candidate number is listed at the top of this email and where possible should be quoted in all contact with us. You will also need this when submitting your ICA assessments.</span><br><br><span>If you’re on LinkedIn, please join the ICT Network and Study group here </span><a href=""https://www.linkedin.com/groups/4246170"" target=""_blank"">https://www.linkedin.com/groups/4246170</a><span> and take the time to follow us on Twitter </span><a href=""https://twitter.com/ictcompliance"" target=""_blank"">https://twitter.com/ictcompliance</a><span> and Facebook </span><a href=""https://www.facebook.com/ictcompliance"" target=""_blank"">https://www.facebook.com/ictcompliance</a><span> for useful updates and tips.</span><br><br><span>We hope you enjoy the course and if you need to get in touch with us or your tutor at any point, please do so through the Q&amp;A platform on the Learning Platform, by emailing us at </span><a href=""mailto:ict@int-comp.com"" target=""_blank"">ict@int-comp.com</a><span> or calling us on +44(0)121 362 7534.</span>",a410X000000wnOhQAI,2,49.5,<span>We’ve listed the dates that are relevant to your course below and we’ll email you approximately two weeks before each date to remind you and let you know about locations and timings for the workshops.</span>,,Advanced Certificate,FALSE,a39b0000000Tdo4AAC,Avg. of Assessments,16,FALSE,ICA International Advanced Certificate in Regulatory Compliance,English,
a3z0X000000CtKQQA0,FALSE,ICA International Diploma in Governance Risk and Compliance,GBP,1526639406000,005b0000000L1KUAA0,1573749952000,005b0000000LhkBAAS,1573749952000,,,,FALSE,<b>What happens next?</b> to get started with your studies watch this <b><a href=""http://www.kaltura.com/tiny/qnijl"" target=""_blank"">video</a>.</b> <br><br>Should you have any questions please get in touch with us by emailing <a href=""mailto:studentservices@int-comp.org"" target=""_blank"">studentservices@int-comp.org</a> or calling us on +44 (0)121 362 7534.  We wish you every success in your studies.,a41b0000000PJNXAA4,3,49.5,To access your course materials go to the ICA website click on the blue &quot;<b>Course Login</b>&quot; tab.   When you log in for the first time you will be prompted to change your password. If you&#39;ve studied with us before or are already an ICA member you can use your existing login details.<br><br>Please note you will receive a separate booking confirmation regarding your membership and your member resources are available by clicking on the pink &quot;<b>Member Login</b>&quot; tab.<br><br>Here are the key dates for your course and we&#39;ll send you an email reminder two weeks before each date. ,,Diploma,FALSE,a39b00000008hMSAAY,Avg. of Assessments,27,FALSE,"ICA International Diploma in Governance, Risk and Compliance",English,
