ID,OWNERID,ISDELETED,NAME,CURRENCYISOCODE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,LASTACTIVITYDATE,LASTVIEWEDDATE,LASTREFERENCEDDATE,BRAND__C,BRAND_TEXT__C,NO_OF_PROGRAMME_PASSES_REQUIRED__C
a4167000002RXVUAA4,0050X00000A7cf7QAB,FALSE,STEP Adv Cert in Trustees’ Duties: Investment and Management of the Trust Fund,GBP,1623150628000,0050X00000A7cf7QAB,1623150628000,0050X00000A7cf7QAB,1623150628000,,,,a39b00000008fYRAAY,CLT International,1
a4167000002RXVZAA4,0050X00000A7cf7QAB,FALSE,"STEP Adv Cert in Principles of International Taxation, AML and Compliance",GBP,1623152531000,0050X00000A7cf7QAB,1623152531000,0050X00000A7cf7QAB,1623152531000,,,,a390X000000ouSkQAI,CLT International Hong Kong,1
a4167000002UlqUAAS,0050X000008uoG9QAI,FALSE,ICA International Diploma in Managing Sanctions Risk,GBP,1626450520000,0050X000008uoG9QAI,1626450520000,0050X000008uoG9QAI,1626450520000,,,,a39b00000008hMSAAY,ICT,1
a41b00000009aH9AAI,005b0000000L061AAC,FALSE,Certificate in Project Management for Lawyers,GBP,1474380576000,005b0000000L061AAC,1474380577000,005b0000000L061AAC,1474687814000,,,,a39b00000008jmnAAA,CLT Scotland,1
a41b00000009c3KAAQ,005b0000000L061AAC,FALSE,ICA Advanced Certificate in Anti Money Laundering,GBP,1476980501000,005b0000000L061AAC,1539876143000,005b0000000LhTLAA0,1539876143000,,,,a39b00000008igkAAA,La Touche Training,1
a41b00000009cyRAAQ,005b0000000L061AAC,FALSE,ICA Specialist Certificate.,GBP,1479489198000,005b0000000L061AAC,1479489214000,005b0000000L061AAC,1519871585000,,,,a39b00000008igkAAA,La Touche Training,20
a41b00000009eOJAAY,005b0000000L061AAC,FALSE,STEP Advanced Certificate in Cross Border Estates,GBP,1482486158000,005b0000000L061AAC,1482486158000,005b0000000L061AAC,1487726951000,,,,a39b00000008fYRAAY,CLT International,1
a41b00000009fneAAA,005b0000000L061AAC,FALSE,ICA Certificate in KYC & CDD,GBP,1484039955000,005b0000000L061AAC,1489083805000,005b0000000L05NAAS,1519871585000,,,,a39b0000000HlhtAAC,ICT North America,1
a41b00000009fnoAAA,005b0000000L061AAC,FALSE,ICA Advanced Certification in Managing Fraud,GBP,1484040012000,005b0000000L061AAC,1484040012000,005b0000000L061AAC,1484040012000,,,,a39b0000000HlhtAAC,ICT North America,1
a41b00000009gnFAAQ,005b0000000L061AAC,FALSE,ICT Revalidation Programme,GBP,1485438330000,005b0000000L061AAC,1485438330000,005b0000000L061AAC,1516296440000,,,,a39b00000008hMSAAY,ICT,9
a41b00000009jvNAAQ,005b0000000L05NAAS,FALSE,ICA International Diploma In Anti Money Laundering,GBP,1489067635000,005b0000000L05NAAS,1489067636000,005b0000000L05NAAS,1495650673000,,,,a39b0000000HlhtAAC,ICT North America,1
a41b00000009kCWAAY,005b0000000L061AAC,FALSE,STEP Certificate in Compliance for Professional Advisors,GBP,1490373615000,005b0000000L061AAC,1490373615000,005b0000000L061AAC,1490427925000,,,,a39b00000008fYRAAY,CLT International,1
a41b00000009lQDAAY,005b0000000L061AAC,FALSE,ICA Certificate in KYC & CDD,GBP,1491926884000,005b0000000L061AAC,1491926884000,005b0000000L061AAC,1507148933000,,,,a39b0000000Tdo9AAC,ICTA,1
a41b0000000HsR6AAK,005b0000000L05NAAS,FALSE,ICA Certificate in Anti Money Laundering.,GBP,1453815367000,005b0000000L05NAAS,1453815367000,005b0000000L05NAAS,1512441231000,,,,a39b0000000Tdo4AAC,ICT Middle East,1
a41b0000000HsnCAAS,005b0000000L061AAC,FALSE,ICA International Diploma in Financial Crime Prevention.,GBP,1453988450000,005b0000000L061AAC,1453988619000,005b0000000L061AAC,1523928844000,,,,a39b00000008igkAAA,La Touche Training,1
a41b0000000HsnMAAS,005b0000000L061AAC,FALSE,ICA Certificate in Compliance,GBP,1454068267000,005b0000000L061AAC,1581697212000,0050X000008U8PoQAK,1581697212000,,,,a39b00000008igkAAA,La Touche Training,1
a41b0000000HsnRAAS,005b0000000L061AAC,FALSE,ICA Certificate in Anti Money Laundering.,GBP,1454068852000,005b0000000L061AAC,1454068852000,005b0000000L061AAC,1519785214000,,,,a39b00000008igkAAA,La Touche Training,1
a41b0000000PJMlAAO,005b00000024A7xAAE,FALSE,ICA Advanced Certificate in Practical Customer Due Diligence,GBP,1449158771000,005b00000024A7xAAE,1452597856000,005b0000000L061AAC,1519871585000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJMnAAO,005b00000024A7xAAE,FALSE,ICA Advanced Certificate in Cyber Security,GBP,1449158771000,005b00000024A7xAAE,1501595245000,005b0000000L061AAC,1501877812000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJMpAAO,005b00000024A7xAAE,FALSE,ICA Certificate in Regulatory & Financial Crime Compliance,GBP,1449158771000,005b00000024A7xAAE,1452597907000,005b0000000L061AAC,1478330488000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJMqAAO,005b00000024A7xAAE,FALSE,ICT-ICA Diploma in Business Compliance,GBP,1449158771000,005b00000024A7xAAE,1449158771000,005b00000024A7xAAE,1516296440000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJMtAAO,005b00000024A7xAAE,FALSE,ICT-International Certificate In Anti Money Laundering Awareness,GBP,1449158771000,005b00000024A7xAAE,1449158771000,005b00000024A7xAAE,1467316484000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJMvAAO,005b00000024A7xAAE,FALSE,ICT-International Certificated Compliance Awareness Training,GBP,1449158771000,005b00000024A7xAAE,1449158771000,005b00000024A7xAAE,1510480399000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJMwAAO,005b00000024A7xAAE,FALSE,ICA International Diploma in Anti Money Laundering,GBP,1449158771000,005b00000024A7xAAE,1507544428000,005b0000001i8K8AAI,1519785214000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJN0AAO,005b00000024A7xAAE,FALSE,ICA Certificate in Compliance,GBP,1449158771000,005b00000024A7xAAE,1452162122000,005b0000000L061AAC,1526607258000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJN1AAO,005b00000024A7xAAE,FALSE,ICA Certificate in Financial Crime Prevention,GBP,1449158771000,005b00000024A7xAAE,1452184791000,005b0000000L061AAC,1525311227000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJN3AAO,005b00000024A7xAAE,FALSE,ICA Professional Postgraduate Diploma in Financial Crime Compliance,GBP,1449158771000,005b00000024A7xAAE,1522227535000,005b0000000LhTLAA0,1522287197000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJN4AAO,005b00000024A7xAAE,FALSE,ICT-Royal Bank of Scotland,GBP,1449158771000,005b00000024A7xAAE,1449158771000,005b00000024A7xAAE,1521858816000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJN7AAO,005b00000024A7xAAE,FALSE,UK Diploma In Compliance,GBP,1449158771000,005b00000024A7xAAE,1451858548000,005b0000000L061AAC,1482550364000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJN8AAO,005b00000024A7xAAE,FALSE,ICA UK Diploma in Financial Crime Prevention,GBP,1449158771000,005b00000024A7xAAE,1453241538000,005b0000000L061AAC,1521167611000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJNGAA4,005b00000024A7xAAE,FALSE,SQLICD-International Certificated Compliance Awareness Training,USD,1449158771000,005b00000024A7xAAE,1449158771000,005b00000024A7xAAE,1449158771000,,,,a39b0000000Tdo4AAC,ICT Middle East,1
a41b0000000PJNJAA4,005b00000024A7xAAE,FALSE,ICA International Diploma in Financial Crime Prevention,USD,1449158771000,005b00000024A7xAAE,1456485848000,005b0000000L061AAC,1456485848000,,,,a39b0000000Tdo4AAC,ICT Middle East,1
