ID,ISDELETED,NAME,CURRENCYISOCODE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,LASTACTIVITYDATE,CONTACT__C,LA1__C,FEE__C
a420X000000E4PLQA0,FALSE,Kevin Jennings,GBP,1526570545000,005b0000000LhTMAA0,1526570565000,005b0000000LhTMAA0,1526570565000,,003b000001WgSk1AAF,a3Qb000000000tCEAQ,0
a420X000000E4PQQA0,FALSE,0.00,GBP,1526999129000,005b0000005RtZaAAK,1526999263000,005b0000005RtZaAAK,1527039303000,,0030X00002A8gopQAB,a3Qb000000000t6EAA,0
a420X000000E4PVQA0,FALSE,0.00,GBP,1526999163000,005b0000005RtZaAAK,1526999210000,005b0000005RtZaAAK,1527039303000,,0030X00002A8goGQAR,a3Qb000000000t6EAA,0
a420X000000E4PfQAK,FALSE,Half Day Fee,GBP,1527068605000,005b0000000LhjTAAS,1534329217000,005b0000000LhjTAAS,1534329217000,,0030X00002A9585QAB,a3Qb000000000tBEAQ,200
a420X000000E4PkQAK,FALSE,Speaker Fee,GBP,1527172362000,005b0000000LhTMAA0,1527172397000,005b0000000LhTMAA0,1527172397000,,003b00000140hAKAAY,a3Qb000000000tCEAQ,0
a420X000000E4PpQAK,FALSE,Full DAy,GBP,1528123489000,005b0000000LhjTAAS,1528124343000,005b0000000LhjTAAS,1528124343000,,0030X00002AwRXuQAN,a3Qb000000000tBEAQ,350
a420X000000E4PuQAK,FALSE,CLS On-site Invigilator,GBP,1528299670000,005b0000000LhkPAAS,1529063517000,005b0000000LhkPAAS,1529063517000,,003b000001ByDGTAA3,a3Qb000000000tHEAQ,0
a420X000000E4PzQAK,FALSE,Administrator,GBP,1528382352000,005b0000005qsd2AAA,1528382370000,005b0000005qsd2AAA,1528382370000,,0030X00002AxSSJQA3,a3Qb000000000t6EAA,0
a420X000000E4Q4QAK,FALSE,0.00,GBP,1528716309000,005b0000005RtZaAAK,1528716370000,005b0000005RtZaAAK,1528716370000,,0030X00002BGMCCQA5,a3Qb000000000t6EAA,0
a420X000000E4Q9QAK,FALSE,0.00,GBP,1528720696000,005b00000047AzjAAE,1528720722000,005b00000047AzjAAE,1528720722000,,003b0000017CksPAAS,a3Qb000000000t6EAA,0
