,table_name,schema_name,column_name,data_type,null?,default,kind,expression,comment,database_name,autoincrement
0,LOGBOOK,CONFIG,LOGBOOKID,"{""type"":""FIXED"",""precision"":38,""scale"":0,""nullable"":false}",NOT_NULL,,COLUMN,,,SALESFORCE,IDENTITY START 1 INCREMENT 1
1,LOGBOOK,CONFIG,LOADID,"{""type"":""TEXT"",""length"":250,""byteLength"":1000,""nullable"":true,""fixed"":false}",true,,COLUMN,,,SALESFORCE,
2,LOGBOOK,CONFIG,LOADDATE,"{""type"":""TIMESTAMP_NTZ"",""precision"":0,""scale"":9,""nullable"":true}",true,,COLUMN,,,SALESFORCE,
3,LOGBOOK,CONFIG,TABLENAME,"{""type"":""TEXT"",""length"":250,""byteLength"":1000,""nullable"":true,""fixed"":false}",true,,COLUMN,,,SALESFORCE,
4,LOGBOOK,CONFIG,RAWROWCOUNT,"{""type"":""FIXED"",""precision"":38,""scale"":0,""nullable"":true}",true,,COLUMN,,,SALESFORCE,
5,LOGBOOK,CONFIG,INSERTED,"{""type"":""FIXED"",""precision"":38,""scale"":0,""nullable"":true}",true,,COLUMN,,,SALESFORCE,
6,LOGBOOK,CONFIG,UPDATED,"{""type"":""FIXED"",""precision"":38,""scale"":0,""nullable"":true}",true,,COLUMN,,,SALESFORCE,
7,LOGBOOK,CONFIG,MESSAGES,"{""type"":""TEXT"",""length"":4000,""byteLength"":16000,""nullable"":true,""fixed"":false}",true,,COLUMN,,,SALESFORCE,
8,APPLICABLE_ROLES,INFORMATION_SCHEMA,GRANTEE,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":false,""fixed"":false}",NOT_NULL,,VIEW_COLUMN,,Role or user to whom the privilege is granted,SALESFORCE,
9,APPLICABLE_ROLES,INFORMATION_SCHEMA,ROLE_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":false,""fixed"":false}",NOT_NULL,,VIEW_COLUMN,,Name of the role,SALESFORCE,
10,APPLICABLE_ROLES,INFORMATION_SCHEMA,ROLE_OWNER,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":false,""fixed"":false}",NOT_NULL,,VIEW_COLUMN,,Owner of the role,SALESFORCE,
11,APPLICABLE_ROLES,INFORMATION_SCHEMA,IS_GRANTABLE,"{""type"":""TEXT"",""length"":3,""byteLength"":12,""nullable"":true,""fixed"":false}",true,,VIEW_COLUMN,,Whether this role can be granted to others,SALESFORCE,
12,COLUMNS,INFORMATION_SCHEMA,TABLE_CATALOG,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":false,""fixed"":false}",NOT_NULL,,VIEW_COLUMN,,Database that the table belongs to,SALESFORCE,
13,COLUMNS,INFORMATION_SCHEMA,TABLE_SCHEMA,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":false,""fixed"":false}",NOT_NULL,,VIEW_COLUMN,,Schema that the table belongs to,SALESFORCE,
14,COLUMNS,INFORMATION_SCHEMA,TABLE_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":false,""fixed"":false}",NOT_NULL,,VIEW_COLUMN,,Table that the column belongs to,SALESFORCE,
15,COLUMNS,INFORMATION_SCHEMA,COLUMN_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":false,""fixed"":false}",NOT_NULL,,VIEW_COLUMN,,Name of the column,SALESFORCE,
16,COLUMNS,INFORMATION_SCHEMA,ORDINAL_POSITION,"{""type"":""FIXED"",""precision"":9,""scale"":0,""nullable"":true}",true,,VIEW_COLUMN,,Ordinal position of the column in the table,SALESFORCE,
17,COLUMNS,INFORMATION_SCHEMA,COLUMN_DEFAULT,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":false,""fixed"":false}",NOT_NULL,,VIEW_COLUMN,,Default value of the column,SALESFORCE,
18,COLUMNS,INFORMATION_SCHEMA,IS_NULLABLE,"{""type"":""TEXT"",""length"":3,""byteLength"":12,""nullable"":true,""fixed"":false}",true,,VIEW_COLUMN,,"'YES' if the column may contain NULL, 'NO' otherwise",SALESFORCE,
19,COLUMNS,INFORMATION_SCHEMA,DATA_TYPE,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":false,""fixed"":false}",NOT_NULL,,VIEW_COLUMN,,Data type of the column,SALESFORCE,
20,COLUMNS,INFORMATION_SCHEMA,CHARACTER_MAXIMUM_LENGTH,"{""type"":""FIXED"",""precision"":9,""scale"":0,""nullable"":true}",true,,VIEW_COLUMN,,Maximum length in characters of string columns,SALESFORCE,
21,COLUMNS,INFORMATION_SCHEMA,CHARACTER_OCTET_LENGTH,"{""type"":""FIXED"",""precision"":9,""scale"":0,""nullable"":true}",true,,VIEW_COLUMN,,Maximum length in bytes of string columns,SALESFORCE,
22,COLUMNS,INFORMATION_SCHEMA,NUMERIC_PRECISION,"{""type"":""FIXED"",""precision"":9,""scale"":0,""nullable"":true}",true,,VIEW_COLUMN,,Numeric precision of numeric columns,SALESFORCE,
23,COLUMNS,INFORMATION_SCHEMA,NUMERIC_PRECISION_RADIX,"{""type"":""FIXED"",""precision"":9,""scale"":0,""nullable"":true}",true,,VIEW_COLUMN,,Radix of precision of numeric columns,SALESFORCE,
24,COLUMNS,INFORMATION_SCHEMA,NUMERIC_SCALE,"{""type"":""FIXED"",""precision"":9,""scale"":0,""nullable"":true}",true,,VIEW_COLUMN,,Scale of numeric columns,SALESFORCE,
